gpsfix;fixquality;latitude;longitude;status;packetNum;data;RSSIpacket;packetReceived;SNR;RSSI

1;0;43.5585;1.4682;1;120;527382458284477378836500000;-129;2;-12;-106

1;0;43.5585;1.4682;1;121;527382458284477378836500000;-131;2;-14;-114

1;0;43.5585;1.4682;2;0;;-127;0;-10;-114

1;0;43.5585;1.4682;2;0;;-127;0;-10;-115

1;2;43.5585;1.4682;1;124;527382458284477378836500000;-129;2;-12;-114

1;2;43.5585;1.4682;2;0;;-129;0;-12;-114

1;2;43.5586;1.4681;1;126;527382458284477378836500000;-126;2;-9;-114

1;2;43.5586;1.4681;1;127;527382458284477378836500000;-126;2;-9;-114

1;2;43.5586;1.4681;1;128;527382458284477378836500000;-123;2;-6;-114

1;2;43.5587;1.4680;1;129;527382458284477378836500000;-122;2;-5;-114

1;2;43.5587;1.4680;1;130;527382458284477378836500000;-126;2;-9;-114

1;2;43.5588;1.4680;1;131;527382458284477378836500000;-126;2;-9;-114

1;2;43.5588;1.4679;1;132;527382458284477378836500000;-126;2;-9;-114

1;2;43.5589;1.4679;1;133;527382458284477378836500000;-122;2;-5;-114

1;2;43.5590;1.4679;2;0;;-122;0;-5;-115

1;2;43.5590;1.4679;1;135;527382458284477378836500000;-123;2;-6;-114

1;2;43.5591;1.4678;1;136;527382458284477378836500000;-129;2;-12;-115

1;2;43.5591;1.4678;1;137;527382458284477378836500000;-124;2;-7;-114

1;2;43.5592;1.4677;1;138;527382458284477378836500000;-124;2;-7;-114

1;2;43.5592;1.4677;1;139;527382458284477378836500000;-131;2;-14;-114

1;2;43.5593;1.4676;1;140;527382458284477378836500000;-124;2;-7;-114

1;2;43.5593;1.4676;1;141;527382458284477378836500000;-125;2;-8;-115

1;2;43.5594;1.4675;1;142;527382458284477378836500000;-129;2;-12;-115

1;2;43.5594;1.4675;1;143;527382458284477378836500000;-128;2;-11;-114

1;2;43.5594;1.4674;1;144;527382458284477378836500000;-129;2;-12;-114

1;2;43.5595;1.4674;1;145;527382458284477378836500000;-121;2;-4;-115

1;2;43.5595;1.4674;1;146;527382458284477378836500000;-128;2;-11;-114

1;2;43.5596;1.4673;1;147;527382458284477378836500000;-127;2;-10;-114

1;2;43.5596;1.4672;1;148;527382458284477378836500000;-127;2;-10;-114

1;2;43.5597;1.4671;2;0;;-129;0;-12;-115

1;2;43.5597;1.4671;1;150;527382458284477378836500000;-127;2;-10;-114

1;2;43.5598;1.4670;1;151;527382458284477378836500000;-125;2;-8;-115

1;2;43.5598;1.4670;1;152;527382458284477378836500000;-128;2;-11;-115

1;2;43.5599;1.4669;1;153;527382458284477378836500000;-125;2;-8;-115

1;2;43.5600;1.4669;1;154;527382458284477378836500000;-126;2;-9;-114

1;2;43.5600;1.4668;1;155;527382458284477378836500000;-129;2;-12;-113

1;2;43.5600;1.4668;1;156;527382458284477378836500000;-124;2;-7;-115

1;2;43.5601;1.4667;1;157;527382458284477378836500000;-130;2;-13;-115

1;2;43.5601;1.4667;2;0;;-126;0;-9;-114

1;2;43.5601;1.4666;1;159;527382458284477378836500000;-128;2;-11;-114

1;2;43.5602;1.4666;1;160;527382458284477378836500000;-123;2;-6;-115

1;2;43.5602;1.4666;2;0;;-123;0;-6;-114

1;2;43.5603;1.4665;1;162;527382458284477378836500000;-127;2;-10;-114

1;2;43.5603;1.4665;1;163;527382458284477378836500000;-131;2;-14;-114

1;2;43.5603;1.4665;1;164;527382458284477378836500000;-125;2;-8;-115

1;2;43.5603;1.4665;1;165;527382458284477378836500000;-125;2;-8;-114

1;2;43.5604;1.4663;2;0;;-125;0;-8;-114

1;2;43.5605;1.4662;1;167;527382458284477378836500000;-130;2;-13;-115

1;2;43.5605;1.4662;1;168;527382458284477378836500000;-123;2;-6;-115

1;2;43.5605;1.4662;1;169;527382458284477378836500000;-120;2;-3;-114

1;2;43.5606;1.4662;1;170;527382458284477378836500000;-122;2;-5;-115

1;2;43.5606;1.4662;1;171;527382458284477378836500000;-124;2;-7;-115

1;2;43.5607;1.4661;1;172;527382458284477378836500000;-122;2;-5;-115

1;2;43.5608;1.4660;1;173;527382458284477378836500000;-128;2;-11;-115

1;2;43.5608;1.4659;1;174;527382458284477378836500000;-119;2;-2;-115

1;2;43.5609;1.4659;1;175;527382458284477378836500000;-118;2;-1;-114

1;2;43.5609;1.4659;1;176;527382458284477378836500000;-125;2;-8;-113

1;2;43.5610;1.4658;1;177;527382458284477378836500000;-123;2;-6;-115

1;2;43.5610;1.4657;1;178;527382458284477378836500000;-124;2;-7;-114

1;2;43.5611;1.4657;1;179;527382458284477378836500000;-127;2;-10;-105

1;2;43.5612;1.4656;2;0;;-127;0;-10;-108

1;2;43.5612;1.4655;2;0;;-127;0;-10;-107

1;2;43.5613;1.4655;2;0;;-134;0;-17;-107

1;2;43.5614;1.4654;1;184;527382458284477378836500000;-125;2;-8;-108

1;2;43.5614;1.4654;2;0;;-132;0;-15;-113

1;2;43.5615;1.4653;1;186;527382458284477378836500000;-112;2;1;-114

1;2;43.5616;1.4653;1;187;527382458284477378836500000;-125;2;-8;-110

1;2;43.5616;1.4652;1;188;527382458284477378836500000;-118;2;-1;-114

1;2;43.5617;1.4652;1;189;527382458284477378836500000;-123;2;-6;-110

1;2;43.5617;1.4651;1;190;527382458284477378836500000;-127;2;-10;-114

1;2;43.5618;1.4651;1;191;527382458284477378836500000;-124;2;-7;-115

1;2;43.5618;1.4650;1;192;527382458284477378836500000;-123;2;-6;-114

1;2;43.5618;1.4649;1;193;527382458284477378836500000;-122;2;-5;-114

1;2;43.5619;1.4649;1;194;527382458284477378836500000;-122;2;-5;-114

1;2;43.5620;1.4648;1;195;527382458284477378836500000;-123;2;-6;-112

1;2;43.5620;1.4647;1;196;527382458284477378836500000;-122;2;-5;-114

1;2;43.5621;1.4646;1;197;527382458284477378836500000;-126;2;-9;-114

1;2;43.5621;1.4645;1;198;527382458284477378836500000;-123;2;-6;-112

1;2;43.5622;1.4645;1;199;527382458284477378836500000;-120;2;-3;-114

1;2;43.5622;1.4644;1;200;527382458284477378836500000;-118;2;-1;-114

1;2;43.5623;1.4644;1;201;527382458284477378836500000;-122;2;-5;-104

1;2;43.5623;1.4643;1;202;527382458284477378836500000;-126;2;-9;-107

1;2;43.5624;1.4643;2;0;;-126;0;-9;-103

1;2;43.5624;1.4643;2;0;;-126;0;-9;-102

1;2;43.5624;1.4643;1;206;527382458284477378836500000;-125;2;-8;-100

1;2;43.5625;1.4642;1;207;527382458284477378836500000;-129;2;-12;-98

1;2;43.5625;1.4642;1;208;527382458284477378836500000;-135;2;-18;-94

1;2;43.5625;1.4642;2;0;;-135;0;-18;-98

1;2;43.5627;1.4641;1;210;527382458284477378836500000;-128;2;-11;-106

1;2;43.5627;1.4640;2;0;;-138;0;-21;-95

1;2;43.5627;1.4640;1;212;527382458284477378836500000;-133;2;-16;-101

1;2;43.5628;1.4639;2;0;;-133;0;-16;-95

1;2;43.5628;1.4638;2;0;;-133;0;-16;-98

