gpsfix;fixquality;latitude;longitude;status;packetNum;data;RSSIpacket;packetReceived;SNR;RSSI
1;0;43.5676;1.4560;1;11;527382458284477378836500000;-120;2;-3;-115
1;0;43.5676;1.4560;1;12;527382458284477378836500000;-114;2;0;-115
1;0;43.5676;1.4561;1;13;527382458284477378836500000;-119;2;-2;-114
1;0;43.5676;1.4562;1;14;527382458284477378836500000;-125;2;-8;-116
1;0;43.5677;1.4562;1;15;527382458284477378836500000;-125;2;-8;-114
1;0;43.5677;1.4563;1;16;527382458284477378836500000;-120;2;-3;-115
1;0;43.5677;1.4563;1;17;527382458284477378836500000;-124;2;-7;-115
1;0;43.5677;1.4564;1;18;527382458284477378836500000;-122;2;-5;-115
1;0;43.5677;1.4564;1;19;527382458284477378836500000;-120;2;-3;-114
1;0;43.5677;1.4564;1;20;527382458284477378836500000;-126;2;-9;-115
1;0;43.5677;1.4564;1;21;527382458284477378836500000;-124;2;-7;-114
1;0;43.5677;1.4564;1;22;527382458284477378836500000;-120;2;-3;-114
1;0;43.5677;1.4564;1;23;527382458284477378836500000;-110;2;1;-115
1;1;43.5680;1.4567;1;24;527382458284477378836500000;-119;2;-2;-114
1;1;43.5680;1.4568;1;25;527382458284477378836500000;-125;2;-8;-115
1;1;43.5681;1.4569;1;26;527382458284477378836500000;-110;2;3;-114
1;1;43.5681;1.4569;1;27;527382458284477378836500000;-110;2;3;-115
1;1;43.5682;1.4570;1;28;527382458284477378836500000;-112;2;0;-114
1;1;43.5683;1.4570;1;29;527382458284477378836500000;-120;2;-3;-115
1;1;43.5683;1.4570;1;30;527382458284477378836500000;-113;2;1;-115
1;1;43.5684;1.4569;1;31;527382458284477378836500000;-118;2;-1;-114
1;1;43.5684;1.4570;1;32;527382458284477378836500000;-120;2;-3;-114
1;1;43.5685;1.4570;1;33;527382458284477378836500000;-112;2;0;-114
1;1;43.5685;1.4571;1;34;527382458284477378836500000;-119;2;-2;-115
1;1;43.5686;1.4572;1;35;527382458284477378836500000;-120;2;-3;-115
